Item_Item_Description,Item__No__,Item__Base_Unit_of_Measure_,Item_Inventory,Qty__on_Sales_Order_,Item__Qty__on_Purch__Order_,QtyAvailable,Av,Clifton,Clifton 8006,UB,UB Clifton,UB Clifton 8006,Total Sec + Clif,Total UB,Total
I am magic Natural Radiance Foundation - Ibiza,1001870,EA,240.00,-3,0,237.00,237.,0.,0.,0.,0.,0.,237.,0.,237.
I am magic Natural Radiance Foundation - Giza,1001871,EA,"1,029.00",-3,0,"1,026.00","1,026.",0.,0.,0.,0.,0.,"1,026.",0.,"1,026."
I am magic Natural Radiance Foundation - Bombay,1001872,EA,"1,820.00",-15,0,"1,805.00","1,805.",0.,0.,0.,0.,0.,"1,805.",0.,"1,805."
I am magic Natural Radiance Foundation - Martinique,1001873,EA,"3,077.00",-8,0,"3,069.00","3,069.",0.,0.,0.,0.,0.,"3,069.",0.,"3,069."
I am magic Natural Radiance Foundation - Cairo,1001874,EA,580.00,-90,0,490.00,490.,0.,0.,0.,0.,0.,490.,0.,490.
I am magic Natural Radiance Foundation - Cebu,1001875,EA,"1,398.00",-79,0,"1,319.00","1,319.",0.,0.,0.,0.,0.,"1,319.",0.,"1,319."
I am magic Natural Radiance Foundation - Malta,1001876,EA,"4,906.00",-3,0,"4,903.00","4,903.",0.,0.,0.,0.,0.,"4,903.",0.,"4,903."
Let's Melt It Off Duo,1001879,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Hyperpigmentation Set,1001880,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Day to Night Moisture Set,1001881,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Powder Foundation - Madrid,1001897,EA,431.00,-2,0.00,429.00,429.,0.,0.,"5,487.",0.,0.,429.,"5,487.","5,916."
I am Magic Powder Foundation- Cairo,1001898,EA,44.,0.,0.,44.,44.,0.,0.,0.,0.,0.,44.,0.,44.
I am Magic Powder Foundation- Catania,1001899,EA,"1,054.00",-78,0.00,976.00,976.,0.,0.,"8,640.",0.,0.,976.,"8,640.","9,616."
I am Magic Powder Foundation- Oslo,1001900,EA,"2,946.00",-1,0,"2,945.00","2,945.",0.,0.,"8,307.",0.,0.,"2,945.","8,307.","11,252."
I am Magic Powder Foundation- Santiago,1001901,EA,"1,261.00",-1,0,"1,260.00","1,260.",0.,0.,"11,384.",0.,0.,"1,260.","11,384.","12,644."
I am Magic Powder Foundation- Valencia,1001902,EA,"3,900.00",-1,0,"3,899.00","3,899.",0.,0.,"5,760.",0.,0.,"3,899.","5,760.","9,659."
I am magic Natural Radiance Foundation - Mali,1001949,EA,6.00,0,0,6.00,6.,0.,0.,0.,0.,0.,6.,0.,6.
I am magic Natural Radiance Foundation - Kano,1001950,EA,117.00,-24,0,93.00,93.,0.,0.,0.,0.,0.,93.,0.,93.
I am magic Natural Radiance Foundation - Tanzania,1001951,EA,802.00,-97,0,705.00,705.,0.,0.,0.,0.,0.,705.,0.,705.
I am magic Natural Radiance Foundation - Malawi,1001952,EA,"2,049.00",-21,0.00,"2,028.00","2,028.",0.,0.,0.,0.,0.,"2,028.",0.,"2,028."
I am magic Natural Radiance Foundation - Lagos,1001953,EA,470.00,-11,0.00,459.00,459.,0.,0.,0.,0.,0.,459.,0.,459.
I am magic Natural Radiance Foundation - Burkina,1001954,EA,"1,309.00",-100,0,"1,209.00","1,209.",0.,0.,0.,0.,0.,"1,209.",0.,"1,209."
I am magic Natural Radiance Foundation -Kampala,1001955,EA,83.00,-16,0.00,67.00,67.,0.,0.,0.,0.,0.,67.,0.,67.
I am magic Natural Radiance Foundation - Somalia,1001956,EA,"2,590.",-10.,0.,"2,580.","2,580.",0.,0.,0.,0.,0.,"2,580.",0.,"2,580."
I am magic Natural Radiance Foundation -Guinea,1001957,EA,"5,312.00",-10,0,"5,302.00","5,302.",0.,0.,0.,0.,0.,"5,302.",0.,"5,302."
I am magic Natural Radiance Foundation -Accra,1001958,EA,707.00,-19,0,688.00,688.,0.,0.,0.,0.,0.,688.,0.,688.
I am magic Natural Radiance Foundation - Cameroon,1001959,EA,"1,575.00",-15,0,"1,560.00","1,560.",0.,0.,0.,0.,0.,"1,560.",0.,"1,560."
I am magic Natural Radiance Foundation -Gabon,1001960,EA,"1,264.00",-15,0,"1,249.00","1,249.",0.,0.,0.,0.,0.,"1,249.",0.,"1,249."
I am magic Natural Radiance Foundation - Mombasa,1001961,EA,"1,148.00",-90,0,"1,058.00","1,058.",0.,0.,0.,0.,0.,"1,058.",0.,"1,058."
I am magic Natural Radiance Foundation - Punta Cana,1001962,EA,129.00,-18,0,111.00,111.,0.,0.,0.,0.,0.,111.,0.,111.
I am magic Natural Radiance Foundation - Rio,1001963,EA,"1,040.00",-27,0,"1,013.00","1,013.",0.,0.,0.,0.,0.,"1,013.",0.,"1,013."
Nubian Earth Lipstick NILE,1001990,EA,"8,635.00",-179,0,"8,456.00","8,456.",0.,0.,0.,0.,0.,"8,456.",0.,"8,456."
Nubian Earth Lipstick SOIL,1001991,EA,"3,492.00",-40,0,"3,452.00","3,452.","20,016.",0.,0.,0.,0.,"23,468.",0.,"23,468."
Nubian Earth Lipstick CLAY,1001992,EA,"9,789.00",-40,0,"9,749.00","9,749.",0.,0.,0.,0.,0.,"9,749.",0.,"9,749."
Nubian Earth Lipstick MOROCCO,1001993,EA,"6,291.00",-43,0,"6,248.00","6,248.",0.,0.,0.,0.,0.,"6,248.",0.,"6,248."
Nubian Earth Lipstick NUBIAN SAND,1001994,EA,"11,842.00",-41,0,"11,801.00","11,801.",0.,0.,0.,0.,0.,"11,801.",0.,"11,801."
Nubian Earth Lipstick SHEEBA,1001995,EA,"8,280.00",-55,0,"8,225.00","8,225.",0.,0.,0.,0.,0.,"8,225.",0.,"8,225."
Nubian Earth Lip Gloss - Oasis,1002009,EA,"2,314.00",-42.00,0,"2,272.00","2,272.",0.,0.,0.,0.,0.,"2,272.",0.,"2,272."
Nubian Earth Lip Gloss - Mirage,1002017,EA,"7,831.00",-27,0,"7,804.00","7,804.",0.,0.,0.,0.,0.,"7,804.",0.,"7,804."
I am magic Natural Radiance Foundation - Caracas,1002018,EA,"1,675.00",-13.00,0.00,"1,662.00","1,662.",0.,0.,0.,0.,0.,"1,662.",0.,"1,662."
The New Luxe Lip Liner Bundle,1002019,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Ice Highlighter,1002025,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Olori Eyeshadow palette 1,1002026,EA,553,0,0,553,553.,0.,0.,0.,0.,0.,553.,0.,553.
Olori Eyeshadow Palette 2,1002027,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Olori Eyeshadow Palette 3,1002028,EA,925.00,0.00,0.00,925.00,925.,0.,0.,0.,0.,0.,925.,0.,925.
Olori Lip Gloss 1,1002035,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Olori Lip Gloss 2,1002036,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Olori Lip Gloss 3,1002037,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Halloween Mystery Box,1002038,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Alter Ego Bundle,1002040,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Culture Eyeshadow Palette,1002041,EA,"7,251.00","-1,135.00","35,000.00","41,116.00","6,116.",0.,"7,680.",0.,0.,0.,"13,796.",0.,"13,796."
The Nubian AHA Glow Balm,1002051,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian AHA Glow Serum,1002056,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Hydration Bundle,1002057,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
 2021 Black Friday Bundle ,1002058,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
DUPETHAT BUNDLE,1002060,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Our beauty cult bundle 2021,1002067,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Olori Bundle,1002075,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nudes Essential Bundle,1002076,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Feast Holiday Bundle 2021,1002077,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Festival Holiday Bundle 2021,1002078,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Holiday Mystery Box 2021,1002079,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
XOXO Lip Bundle,1002088,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Perfect Pout Lip Bundle,1002089,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Culture Collection PR Send Outs,1002092,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Vanessa Williams Bundle 2021,1002095,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
"i Sculpt, i Shade Brow Kit - Ebony Brow",1002097,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
"i Sculpt, i Shade Brow Kit - Dark Brown",1002098,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
"i Sculpt, i Shade Brow Kit - Chocolate",1002099,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
"i Sculpt, i Shade Brow Kit - Medium Brown",1002100,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Sculpt I Shade Brow Palette Kit,1002101,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Lashes - Siwa,1002103,EA,"3,542.00",-8,0,"3,534.00","3,534.",0.,0.,0.,0.,0.,"3,534.",0.,"3,534."
The Nubian Lashes - Royalty,1002104,EA,"4,521.00",-14,0,"4,507.00","4,507.",0.,0.,0.,0.,0.,"4,507.",0.,"4,507."
The Nubian Lashes - LUXOR,1002105,EA,"4,112.00",-5,0,"4,107.00","4,107.","13,824.",0.,0.,0.,0.,"17,931.",0.,"17,931."
The Nubian Lashes - EGYPT - LITE,1002106,EA,"8,481.00",-11,0,"8,470.00","8,470.",0.,0.,0.,0.,0.,"8,470.",0.,"8,470."
The Nubian Earth Eyeshadow Palette,1002107,EA,"10,572.00",-265,0,"10,307.00","10,307.",0.,0.,0.,0.,0.,"10,307.",0.,"10,307."
Garden of Juvia's Lip Gloss- Flower Girl,1002154,EA,101.00,0.00,0,101.00,101.,0.,0.,0.,0.,0.,101.,0.,101.
Garden of Juvia's Lip Gloss- Pink Bae,1002155,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Garden of Juvia's Colored liner - White Lotus,1002156,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Garden of Juvia's Colored liner - Yellow Marigold,1002157,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Garden Of Juvia's Colored liner - Pink Hibiscus,1002158,EA,686.00,-7.00,0,679.00,679.,0.,0.,0.,0.,0.,679.,0.,679.
Garden Of Juvia's Colored liner - Aqua,1002159,EA,"4,932.00",-3,0,"4,929.00","4,929.",0.,0.,0.,0.,0.,"4,929.",0.,"4,929."
Garden Of Juvia's Colored liner - Lilac,1002160,EA,"4,523.00",-4,0,"4,519.00","4,519.",0.,0.,0.,0.,0.,"4,519.",0.,"4,519."
Garden Of Juvia's Colored liner - Electric Lime,1002161,EA,"6,247.00",-2,0,"6,245.00","6,245.",0.,0.,0.,0.,0.,"6,245.",0.,"6,245."
Garden Of Juvia's Colored liner - Tangerine Dream,1002162,EA,"3,504.00",-3.00,0.00,"3,501.00","3,501.",0.,0.,0.,0.,0.,"3,501.",0.,"3,501."
Garden Of Juvia's Colored liner - Ivy,1002163,EA,0.00,0.00,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Garden Of Juvia's Colored liner - Living Coral,1002164,EA,"5,199.00",-3.00,0.00,"5,196.00","5,196.",0.,0.,0.,0.,0.,"5,196.",0.,"5,196."
Garden Of Juvia's Colored liner - Cobalt Blue,1002165,EA,"1,925.00",-5.00,0.00,"1,920.00","1,920.",0.,0.,0.,0.,0.,"1,920.",0.,"1,920."
Garden Of Juvia's Colored liner - Sweet Pink,1002166,EA,"5,518.00",-2.00,0.00,"5,516.00","5,516.",0.,0.,0.,0.,0.,"5,516.",0.,"5,516."
Garden Of Juvia's Colored liner - Sun Flower,1002167,EA,"5,858.00",-2,0.00,"5,856.00","5,856.",0.,0.,0.,0.,0.,"5,856.",0.,"5,856."
Garden of Juvia's Eyeshadow Palette,1002168,EA,119.00,0,0.00,119.00,119.,0.,0.,0.,0.,0.,119.,0.,119.
Blushed Cream Blush 7 - Peach Please,1200596,EA,"10,850.00",-12,0.00,"10,838.00","10,838.",0.,"13,440.",0.,0.,0.,"24,278.",0.,"24,278."
Blushed Cream Blush 8 - Pink Passion,1200597,EA,"6,594.00",-37.00,0.00,"6,557.00","6,557.",0.,"15,120.",0.,0.,0.,"21,677.",0.,"21,677."
Blushed Cream Blush 6 - Wild Rose,1200509,EA,"8,972.00",-15,0.00,"8,957.00","8,957.",0.,"10,080.",0.,0.,0.,"19,037.",0.,"19,037."
Blushed Cream Blush 3 - Cheeky Cherry,1200506,EA,"8,381.00",-21.00,0.00,"8,360.00","8,360.",0.,"10,368.",0.,0.,0.,"18,728.",0.,"18,728."
Nubian Earth Lip Gloss Nubian Nude,1002193,EA,673.00,-28,0.00,645.00,645.,0.,0.,0.,0.,0.,645.,0.,645.
Nubian Earth Lip Gloss Meroe,1002194,EA,"4,239.00",-162,0.00,"4,077.00","4,077.",0.,0.,0.,0.,0.,"4,077.",0.,"4,077."
I am Magic Powder Foundation- Nicaragua,1002240,EA,78,-15,0.00,63.00,63.,0.,0.,0.,0.,0.,63.,0.,63.
I am Magic Powder Foundation- Havana,1002241,EA,"1,965.00",-12,0.00,"1,953.00","1,953.",0.,0.,"2,880.",0.,0.,"1,953.","2,880.","4,833."
I am Magic Powder Foundation- Cabo,1002242,EA,"5,745.00",-18,0.00,"5,727.00","5,727.",0.,0.,0.,0.,0.,"5,727.",0.,"5,727."
I am Magic Powder Foundation- Cameroon,1002243,EA,"2,610.00",-34,0.00,"2,576.00","2,576.",0.,0.,0.,0.,0.,"2,576.",0.,"2,576."
I am Magic Cream Foundation Shade 1,1002253,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Cream Foundation Shade 2,1002254,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Cream Foundation Shade 3,1002255,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Cream Foundation Shade 4,1002256,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Cream Foundation Shade 5,1002257,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Afrogalactica Body Glow shade 1,1002268,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Afrogalactica Body Glow shade 2 ,1002269,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Afrogalactica Body Glow shade 3 ,1002270,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Lashes - EGYPT,1002271,EA,"7,203.00",-18,0.00,"7,185.00","7,185.",0.,0.,0.,0.,0.,"7,185.",0.,"7,185."
The Nubian Lashes - Egypt - Flare,1002272,EA,"4,935.00",-20.00,0.00,"4,915.00","4,915.","13,824.",0.,0.,0.,0.,"18,739.",0.,"18,739."
The Nubian Lashes - Kush,1002273,EA,"4,664.00",-28,"12,000.00","16,636.00","4,636.",0.,0.,0.,0.,0.,"4,636.",0.,"4,636."
The Nubian Lashes - Biba,1002274,EA,"2,511.00",-460,"15,000.00","17,051.00","2,051.",0.,0.,0.,0.,0.,"2,051.",0.,"2,051."
The Nubian Lashes - Zaria,1002275,EA,"9,244.00",-154,0.00,"9,090.00","9,090.",0.,0.,0.,0.,0.,"9,090.",0.,"9,090."
The Nubian Lashes - Nefertiti,1002276,EA,"2,773.00",-186,"13,000.00","15,587.00","2,587.",0.,0.,0.,0.,0.,"2,587.",0.,"2,587."
The Nubian Lashes - Egypt- XL,1002277,EA,"4,687.00",-18,0.00,"4,669.00","4,669.",0.,0.,0.,0.,0.,"4,669.",0.,"4,669."
The Nubian Lashes - Cleopatra,1002278,EA,"6,851.00",-172,"5,000.00","11,679.00","6,679.",0.,0.,0.,0.,0.,"6,679.",0.,"6,679."
The Nubian Lashes - Aziza,1002279,EA,"8,743.00",-313,"5,000.00","13,430.00","8,430.",0.,0.,0.,0.,0.,"8,430.",0.,"8,430."
Nubian Lash Glue - Clear,1002280,EA,"7,166.00",-178,0.00,"6,988.00","6,988.",0.,0.,0.,0.,0.,"6,988.",0.,"6,988."
Garden of Juvia's Eyeshadow Palette 2,1002282,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Garden of Juvia's Eyeshadow Palette 3,1002283,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Powder Foundation- Burkina,1002315,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Powder Foundation- Zaria,1002316,EA,"1,122.00",0.00,0.00,"1,122.00","1,122.",0.,0.,0.,0.,0.,"1,122.",0.,"1,122."
I am Magic Powder Foundation- Kaduna,1002317,EA,"2,226.00",-38,0.00,"2,188.00","2,188.",0.,0.,0.,0.,0.,"2,188.",0.,"2,188."
I am Magic Powder Foundation- Tanzania,1002318,EA,45.00,-27.00,0.00,18.00,18.,0.,0.,0.,0.,0.,18.,0.,18.
I am Magic Powder Foundation- Katsina,1002319,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am Magic Powder Foundation-Angola,1002320,EA,"5,325.",-80.,0.,"5,245.","5,245.",0.,0.,0.,0.,0.,"5,245.",0.,"5,245."
I am Magic Powder Foundation- Niger,1002321,EA,"5,096.00",-4.00,0.00,"5,092.00","5,092.",0.,0.,0.,0.,0.,"5,092.",0.,"5,092."
I am Magic Powder Foundation- Zambia,1002322,EA,"5,876.00",-3.00,0.00,"5,873.00","5,873.",0.,0.,0.,0.,0.,"5,873.",0.,"5,873."
Nubian Earth collection PR,1002323,EA,216,0,0.00,216.00,216.,0.,0.,0.,0.,0.,216.,0.,216.
Garden of Juvia's Lip Gloss- Lavenda,1002327,EA,0,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Blushed Duo Blush Volume 2,1001612,EA,"11,429.00","-2,320.00","14,000.00","23,109.00","9,109.",0.,"8,640.",0.,0.,0.,"17,749.",0.,"17,749."
Blushed Liquid blush -Rosey Posey,1002529,EA,"15,558.00",-316.00,0.00,"15,242.00","15,242.",0.,0.,0.,0.,0.,"15,242.",0.,"15,242."
Blushed Liquid blush - Pink Lady,1002183,EA,"6,443.00",-688.00,0.00,"5,755.00","5,755.",0.,"7,200.",0.,0.,0.,"12,955.",0.,"12,955."
Blushed Liquid blush - Peach Rose,1002184,EA,"12,335.00",-183.00,0.00,"12,152.00","12,152.",0.,0.,0.,0.,0.,"12,152.",0.,"12,152."
Nubian Earth Lip Gloss Bundle,1002334,EA,0,-111,0,-111,-111.,0.,0.,0.,0.,0.,-111.,0.,-111.
Nubian Earth Lipstick Bundle,1002335,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Lash Bundle – Drama Queen,1002338,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Lash Bundle – Natural Queen,1002339,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Lash Bundle – Glam Queen,1002340,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Lash Bundle – Egypt Bundle,1002341,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Warrior Eyeshadow Palette Bundle,1002355,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Six Eyeshadow Bundle,1002356,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
Garden of Juvia Bundle,1002362,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Summer mystery box 2022,1002364,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Tribe Palette - Small Size,1002375,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Afrique Palette - Small Size,1002376,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Fula Palette,1002377,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am magic Natural Radiance Foundation - Sudan,1002378,EA,319.00,-4.00,0.00,315.00,315.,0.,0.,0.,0.,0.,315.,0.,315.
I am magic Natural Radiance Foundation - Angola,1002379,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I am magic Natural Radiance Foundation - Kenya,1002380,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Coffee Shop Eyeshadow Palette,1002382,EA,"14,551.",-846.,"42,000.","55,705.","13,705.",0.,"8,640.",0.,0.,0.,"22,345.",0.,"22,345."
Afrogalactic Palette,1002383,EA,70.,0.,0.,70.,70.,0.,0.,0.,0.,0.,70.,0.,70.
The Candy Shop Palette,1002384,EA,51.,0.,0.,51.,51.,0.,0.,0.,0.,0.,51.,0.,51.
The Coffee Shop Lip Glosses - Mochaccino,1002385,EA,"14,515.",-41.,0.,"14,474.","14,474.",0.,0.,0.,0.,0.,"14,474.",0.,"14,474."
The Coffee Shop Lip Glosses - Salted Caramel,1002386,EA,"12,787.00",-30,0,"12,757.00","12,757.",0.,0.,0.,0.,0.,"12,757.",0.,"12,757."
The Coffee Shop Lip Glosses - Brown Sugar,1002387,EA,"14,468.",-207.,0.,"14,261.","14,261.",0.,0.,0.,0.,0.,"14,261.",0.,"14,261."
The Coffee Shop Lip Glosses - Cream de Cacao,1002388,EA,"4,407.",-64.,0.,"4,343.","4,343.",0.,0.,0.,0.,0.,"4,343.",0.,"4,343."
The Coffee Shop Lip Glosses - Butterscotch,1002389,EA,"8,108.",-204.,0.,"7,904.","7,904.",0.,0.,0.,0.,0.,"7,904.",0.,"7,904."
The Coffee Shop Lip Glosses - Kenyan Koffee,1002390,EA,"11,352.",-176.,0.,"11,176.","11,176.",0.,0.,0.,0.,0.,"11,176.",0.,"11,176."
The Coffee Shop Lip Glosses - Chocolate Drip,1002391,EA,"12,050.",-51.,0.,"11,999.","11,999.",0.,0.,0.,0.,0.,"11,999.",0.,"11,999."
The Coffee Shop Lip Glosses - Macchiato,1002392,EA,"12,364.",-28.,0.,"12,336.","12,336.",0.,0.,0.,0.,0.,"12,336.",0.,"12,336."
The Coffee Shop Lip Glosses - Dulce Latte,1002393,EA,"21,402.",-188.,0.,"21,214.","21,214.",0.,0.,0.,0.,0.,"21,214.",0.,"21,214."
The Coffee Shop Lip Glosses - Honey Honey,1002394,EA,"8,034.",-31.,0.,"8,003.","8,003.",0.,0.,0.,0.,0.,"8,003.",0.,"8,003."
The Coffee Shop Lip Glosses - Cookie Butter,1002395,EA,"9,328.",-191.,0.,"9,137.","9,137.",0.,0.,0.,0.,0.,"9,137.",0.,"9,137."
The Coffee Shop Lip Glosses - Coffee Break,1002396,EA,"6,108.",-42.,0.,"6,066.","6,066.",0.,0.,0.,0.,0.,"6,066.",0.,"6,066."
The Candy Shop Lip Gloss - Strawberry N Cream,1002397,EA,"9,934.00",-8.00,0.00,"9,926.00","9,926.",0.,0.,0.,0.,0.,"9,926.",0.,"9,926."
The Candy Shop Lip Gloss - Pineapple Pearl,1002398,EA,"6,618.00",-6.00,0.00,"6,612.00","6,612.",0.,0.,0.,0.,0.,"6,612.",0.,"6,612."
The Candy Shop Lip Gloss - Neopolitan,1002399,EA,"8,923.00",-7.00,0.00,"8,916.00","8,916.",0.,0.,0.,0.,0.,"8,916.",0.,"8,916."
The Candy Shop Lip Gloss - ChocoMilo,1002400,EA,"4,020.00",-153.00,0,"3,867.00","3,867.",0.,0.,0.,0.,0.,"3,867.",0.,"3,867."
The Candy Shop Lip Gloss - Pink Velvet,1002401,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Candy Shop Lip Gloss - Bubblegum,1002402,EA,"12,952.",-5.,0.,"12,947.","12,947.",0.,0.,0.,0.,0.,"12,947.",0.,"12,947."
The Coffee Shop Lip Liner - Espresso,1002403,EA,"19,314.00",-495.00,0.00,"18,819.00","18,819.",0.,0.,0.,0.,0.,"18,819.",0.,"18,819."
The Coffee Shop Lip Liner - Cocoa Latte,1002404,EA,"23,601.00",-365.00,0.00,"23,236.00","23,236.",0.,0.,0.,0.,0.,"23,236.",0.,"23,236."
The Coffee Shop Lip Liner - Coffee Bean,1002405,EA,"37,495.00",-674.00,0.00,"36,821.00","36,821.",0.,0.,0.,0.,0.,"36,821.",0.,"36,821."
I am Magic Duo Density Makeup Sponge 1 - ( Pink & Yellow),1002409,EA,"2,300.00",0,0,"2,300.00","2,300.",0.,0.,400.,0.,0.,"2,300.",400.,"2,700."
I am Magic Duo Density Makeup Sponge 2 - ( Pink & Orange),1002410,EA,"6,178.00",-16.00,0,"6,162.00","6,162.",0.,0.,0.,"24,800.",0.,"6,162.","24,800.","30,962."
I am Magic 102 Flat Top Foundation Brush- Blue and White,1002412,EA,"5,907.00",-21,0,"5,886.00","5,886.",0.,0.,0.,0.,0.,"5,886.",0.,"5,886."
I am Magic 101 Tapered Powder Brush,1002413,EA,"7,049.00",-10.00,0,"7,039.00","7,039.",0.,0.,0.,0.,0.,"7,039.",0.,"7,039."
The Coffee Shop Collection,1002506,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Blushed Liquid blush - Blush Lily,1002186,EA,"13,003.00","-1,325.00",0,"11,678.00","11,678.",0.,0.,0.,0.,0.,"11,678.",0.,"11,678."
Blushed Cream Blush 2 - Very Berry,1200505,EA,"11,659.00",-35,0,"11,624.00","11,624.",0.,0.,0.,0.,0.,"11,624.",0.,"11,624."
Blushed Cream Blush 1 - Terracota,1200504,EA,"4,567.00",-29,0,"4,538.00","4,538.",0.,"6,912.",0.,0.,0.,"11,450.",0.,"11,450."
Blushed Liquid blush - Barbie Rose,1002185,EA,"11,058.00",-43,0,"11,015.00","11,015.",0.,0.,0.,0.,0.,"11,015.",0.,"11,015."
Blushed Blush Tint - Coral Sunset,1201004,EA,"8,639.00",-12,0,"8,627.00","8,627.",0.,0.,0.,0.,0.,"8,627.",0.,"8,627."
Blushed Liquid blush - Perky Poppy,1002536,EA,"2,436.00",-15,0,"2,421.00","2,421.",0.,"5,760.",0.,0.,0.,"8,181.",0.,"8,181."
