Item_Item_Description,Item__No__,Item__Base_Unit_of_Measure_,Item_Inventory,Qty__on_Sales_Order_,Item__Qty__on_Purch__Order_,QtyAvailable,Av,Clifton,Clifton 8006,UB,UB Clifton,UB Clifton 8006,Total Sec + Clif,Total UB,Total
Shade Sticks: Cameroon,1000161,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Congo,1000162,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Dominica,1000163,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Grenada,1000164,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks - Guinea,1000165,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Jacmel,1000166,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Katsina,1000167,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Lima,1000168,EA,"3,117.",0.,0.,"3,117.","3,117.","12,960.",0.,0.,0.,0.,"16,077.",0.,"16,077."
Shade Sticks: Luxor,1000169,EA,"2,446.",0.,0.,"2,446.","2,446.","12,960.",0.,0.,0.,0.,"15,406.",0.,"15,406."
Shade Sticks: Madagascar,1000170,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Manila,1000171,EA,"1,795.",0.,0.,"1,795.","1,795.","12,960.",0.,0.,0.,0.,"14,755.",0.,"14,755."
Shade Sticks: Marrakesh,1000172,EA,"1,755.",0.,0.,"1,755.","1,755.","10,368.",0.,0.,"4,157.",0.,"12,123.","4,157.","16,280."
Shade Sticks: Mauritania,1000174,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Mozambique,1000175,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Namibia,1000176,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Nepal,1000177,EA,"2,332.",0.,0.,"2,332.","2,332.","10,368.",0.,0.,173.,0.,"12,700.",173.,"12,873."
Shade Sticks: Nicaragua,1000178,EA,"3,038.",0.,0.,"3,038.","3,038.","12,960.",0.,0.,0.,0.,"15,998.",0.,"15,998."
Shade Sticks: Panama,1000179,EA,"6,499.",0.,0.,"6,499.","6,499.",0.,0.,0.,0.,0.,"6,499.",0.,"6,499."
Shade Sticks: Sokoto,1000180,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Tokyo,1000181,EA,"4,291.",0.,0.,"4,291.","4,291.","14,400.",0.,0.,268.,0.,"18,691.",268.,"18,959."
Shade Sticks: Tunisia,1000182,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Zambia,1000183,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Heroine Glow 1,1000187,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Heroine Glow 2,1000189,EA,387.,-10.,0.,377.,377.,0.,0.,0.,0.,0.,377.,0.,377.
The Festival Liquid Lipstick Set. Limited Edition,1000200,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5 Pcs Light Pink Brush Set,1000276,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Brush Me Off Soap,1000277,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Face Blending Brush,1000287,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Face Blending Brush - Magenta,1000288,EA,0.00,0,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Heroine Glow 1 & 2,1000289,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic 102 Flat Top Foundation Brush- Peach and White,1000292,EA,"6,605.00",-48,0,"6,557.00","6,557.",0.,"5,600.",0.,0.,0.,"12,157.",0.,"12,157."
Blushed Duo Blush Volume 5,1002330,EA,"35,147.","-6,141.","40,000.","69,006.","29,006.",0.,"17,280.",0.,0.,0.,"46,286.",0.,"46,286."
Shade Sticks Makeup Bag,1000329,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Douce,1000334,EA,0,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Empress - Ditu,1000335,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Festival,1000338,EA,"5,758.",-26.,0.,"5,732.","5,732.",0.,0.,0.,0.,0.,"5,732.",0.,"5,732."
The Magic Mini,1000342,EA,0.,-324.,0.,-324.,-324.,0.,0.,0.,0.,0.,-324.,0.,-324.
The Nubian 3 Coral,1000351,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Queen Palette - Fumi X Juvia'S,1000355,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Saharan,1000359,EA,"2,339.",-29.,0.,"2,310.","2,310.",0.,0.,0.,0.,0.,"2,310.",0.,"2,310."
Blushed Cream Blush 5 - Pinch Me,1200508,EA,"4,582.",-188.,0.,"4,394.","4,394.",0.,"30,624.",0.,0.,0.,"35,018.",0.,"35,018."
Blushed Duo Blush Volume 3,1002328,EA,"31,813.",-962.,"30,000.","60,851.","30,851.",0.,0.,0.,0.,0.,"30,851.",0.,"30,851."
The Saharan Gel Eyeliner,1000363,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Tribe,1000365,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Warrior,1000367,EA,"8,352.",-649.,0.,"7,703.","7,703.",0.,"7,776.",0.,0.,0.,"15,479.",0.,"15,479."
The Warrior 2,1000368,EA,"15,620.00",-416.00,0.00,"15,204.00","15,204.",0.,0.,0.,0.,0.,"15,204.",0.,"15,204."
The Zulu Eye Shadow Palette,1000369,EA,"1,468.00",-261.00,0.00,"1,207.00","1,207.",0.,0.,0.,0.,0.,"1,207.",0.,"1,207."
Tribe Glow Vol#1 (9Gm) Pressed,1000370,EA,"10,350.",-11.,0.,"10,339.","10,339.",0.,0.,0.,0.,0.,"10,339.",0.,"10,339."
Tribe Glow Vol#2 (9Gm) Pressed,1000371,EA,"1,485.",-40.,0.,"1,445.","1,445.",0.,0.,0.,0.,0.,"1,445.",0.,"1,445."
Tribe Glow Vol#3 (9Gm) Pressed,1000372,EA,"2,444.",-19.,0.,"2,425.","2,425.","10,368.",0.,0.,0.,0.,"12,793.",0.,"12,793."
I Am Magic Concealer - J01,1000579,EA,575.,-5.,0.,570.,570.,"21,312.",0.,0.,0.,0.,"21,882.",0.,"21,882."
I Am Magic Concealer - J10,1000580,EA,"6,714.",-66.,0.,"6,648.","6,648.",0.,0.,0.,0.,0.,"6,648.",0.,"6,648."
I Am Magic Concealer - J11,1000581,EA,"5,402.",-54.,0.,"5,348.","5,348.",0.,0.,0.,0.,0.,"5,348.",0.,"5,348."
I Am Magic Concealer - J12,1000582,EA,"12,142.",-235.,0.,"11,907.","11,907.",0.,0.,0.,0.,0.,"11,907.",0.,"11,907."
I Am Magic Concealer - J13,1000583,EA,"14,177.",-208.,0.,"13,969.","13,969.",0.,0.,0.,0.,0.,"13,969.",0.,"13,969."
I Am Magic Concealer - J14,1000584,EA,"6,211.",-193.,0.,"6,018.","6,018.",0.,0.,0.,0.,0.,"6,018.",0.,"6,018."
I Am Magic Concealer - J15,1000585,EA,"14,303.",-619.,0.,"13,684.","13,684.",0.,0.,0.,0.,0.,"13,684.",0.,"13,684."
I Am Magic Concealer - J16,1000586,EA,"8,439.",-57.,0.,"8,382.","8,382.",0.,0.,0.,0.,0.,"8,382.",0.,"8,382."
I Am Magic Concealer - J17,1000587,EA,"6,313.",-304.,0.,"6,009.","6,009.",0.,0.,0.,0.,0.,"6,009.",0.,"6,009."
I Am Magic Concealer - J18,1000588,EA,"14,359.",-480.,0.,"13,879.","13,879.",0.,0.,0.,0.,0.,"13,879.",0.,"13,879."
I Am Magic Concealer - J19,1000589,EA,"15,810.",-325.,0.,"15,485.","15,485.",0.,0.,0.,0.,0.,"15,485.",0.,"15,485."
I Am Magic Concealer - J02,1000590,EA,572.,-4.,0.,568.,568.,"21,600.",0.,0.,0.,0.,"22,168.",0.,"22,168."
I Am Magic Concealer - J20,1000591,EA,"12,649.00",-299.00,0.00,"12,350.00","12,350.",0.,0.,0.,0.,0.,"12,350.",0.,"12,350."
I Am Magic Concealer - J21,1000592,EA,"6,330.",-17.,0.,"6,313.","6,313.",0.,0.,0.,0.,0.,"6,313.",0.,"6,313."
I Am Magic Concealer - J22,1000593,EA,"1,861.",-154.,0.,"1,707.","1,707.",0.,0.,0.,0.,0.,"1,707.",0.,"1,707."
1 Pc Magenta,1000594,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
1 Pc Red,1000596,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3 Pcs Multicolored Brush Set,1000597,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
7 Pcs Multicolored Brush Set,1000600,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7 Pcs Purple Brush Set,1000601,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7 Pcs Royal Brush Set,1000602,EA,"2,172.",0.,0.,"2,172.","2,172.",0.,"3,456.",0.,0.,0.,"5,628.",0.,"5,628."
8 Pcs Red Brush Set,1000603,EA,0.00,0,0,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
9 Pcs Pro Red Brush Set,1000604,EA,41.,-1.,"5,000.","5,040.",40.,0.,0.,0.,0.,0.,40.,0.,40.
9 Pcs Turquoise Blue Brush Set,1000605,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Blushed Cream Blush 4 - Charming Coral,1200507,EA,"9,838.00",-18,0,"9,820.00","9,820.",0.,"17,280.",0.,0.,0.,"27,100.",0.,"27,100."
The Empress - Yoko,1000643,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Afrique Liquid Lipstick,1000645,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Setting Powder - White Sand,1000652,EA,218.,0.,0.,218.,218.,0.,0.,0.,0.,0.,218.,0.,218.
The Chocolate Lipstick 001 Cocoa,1000665,EA,"4,300.",-27.,0.,"4,273.","4,273.",0.,0.,0.,0.,0.,"4,273.",0.,"4,273."
The Chocolate Lipstick 004 Lady,1000666,EA,"5,682.",-166.,0.,"5,516.","5,516.",0.,0.,0.,0.,0.,"5,516.",0.,"5,516."
The Chocolate Lipstick 003 Muted,1000667,EA,"3,519.00",-309.00,0.00,"3,210.00","3,210.",0.,0.,0.,0.,0.,"3,210.",0.,"3,210."
